latitude,longitude,mag
40.5213333,-124.4023333,2.75
33.3975,-116.3933333,4.14
34.3556667,-116.9218333,3.47
40.5391667,-124.3166667,2.64
38.4573333,-122.015,2.76
35.85383333,-97.18883333,2.61
35.7735,-121.4815,2.66
37.6516667,-119.3848333,2.61
40.5995,-124.0883333,2.54
31.60763256,-104.5322869,2.8
40.5875,-124.0901667,2.97
31.01901666,-103.2715638,2.6
39.0976,-118.1503,3.4
31.73375443,-104.1096701,2.5
33.1173333,-115.604,2.66
38.4897,-118.1948,2.6
38.7865,-122.7681667,2.5
45.1415,-106.8972,3.1
34.5795,-116.8873333,2.99
31.6090719,-103.9580425,2.9
32.2119,-103.0951,3.2
31.5371667,-115.7883333,3.32
31.4942,-115.8069,2.8
43.7306,-105.345,3.3
40.523,-124.3978333,2.68
40.501,-124.809,2.88
31.71047574,-104.2657066,2.5
44.4719,-115.2192,2.5
44.4962,-115.2683,2.6
31.71440412,-104.0023843,2.6
38.4913,-117.9265,2.9
40.2796667,-124.5683333,2.97
33.9778333,-116.766,2.57
47.4889,-70.1479,2.9
33.9333333,-116.3198333,2.5
34.673,-88.5148333333333,2.52
32.24578857,-101.8920303,3.4
44.6159,-114.3992,2.6
44.6528,-114.398,3.4
40.5571667,-124.0083333,4.16
31.5671667,-115.6821667,2.51
43.811,-105.3014,3.3
40.3745,-124.4985,2.87
32.75665283,-100.6551305,2.5
43.8491,-105.4089,3.2
41.8841667,-111.9326667,2.64
31.6065073,-104.1966027,2.8
38.5065,-122.7485,2.52
35.283,-98.0205,2.92
46.633,-122.39266666666668,2.88
43.5894,-105.5118,3.2
44.081,-105.3148,3.1
43.9576,-105.2683,3.1
40.3601667,-124.3346667,3.79
40.52,-124.411,3.33
40.5978333,-124.1008333,2.71
37.6201667,-122.025,3.34
40.6041667,-124.0696667,2.68
40.4945,-124.4646667,2.87
40.6381667,-124.0081667,2.65
44.3432,-115.1654,3.8
38.1705,-117.8282,2.6
37.739,-122.1453333,2.93
40.5971667,-124.0651667,3.3
28.66607666,-98.19244026,2.7
31.64675114,-104.4616556,2.8
35.6953333,-117.531,2.9
38.159,-117.8429,2.9
32.10845947,-102.2007193,3.2
40.523,-124.4076667,2.85
40.693,-124.029,3.0
40.5208333,-124.0273333,2.77
40.5935,-124.0765,2.56
40.6011667,-124.0805,2.53
40.5058333,-124.4661667,3.02
33.7866667,-116.1555,2.55
40.5586667,-124.0691667,2.74
31.66143017,-104.3234662,2.7
40.533,-124.3298333,2.56
40.5455,-124.3291667,4.35
40.5795,-124.1055,2.58
40.547,-124.3391667,2.53
40.8146667,-124.328,2.8
40.5193333,-124.4168333,2.7
40.3861667,-124.7221667,2.65
40.5368333,-124.3565,2.81
40.5416667,-124.3358333,2.7
40.5303333,-124.3623333,3.2
40.5461667,-124.3181667,3.18
